time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.641882	0.792124	7.25441	5.00912e-18	-3.41247e-17	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16451	0.496519	7.26375	-0.142636	-0.0133108	lidar	0.117083	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.33029	0.433409	7.2695	-0.147184	-0.00147515	radar	0	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.58548	0.520491	7.31989	0.695029	0.166111	lidar	0.0056467	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.7502	0.622616	7.40827	0.488185	0.119095	radar	0	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.17319	0.682268	7.4205	0.273769	0.0708141	lidar	0.00515658	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.31291	0.735804	5.30467	0.293113	0.049351	radar	0	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.62628	0.707374	5.2863	0.186906	-0.0464828	lidar	0.00231018	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.88276	0.755038	5.2732	0.184691	-0.0474452	radar	0	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.14545	0.742235	5.25233	0.113505	-0.25612	lidar	0.00135861	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.40571	0.77074	5.26618	0.104007	-0.239076	radar	0	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.76711	0.521997	5.37425	-0.187251	-0.984676	lidar	0.0142313	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.05145	0.49223	5.55894	-0.16673	-0.712951	radar	0	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30469	0.511517	5.4985	-0.132671	-0.538719	lidar	0.000910742	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56964	0.467549	5.43581	-0.164025	-0.551085	radar	0	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73914	0.703112	5.05671	0.0418021	-0.0545079	lidar	0.0187263	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98718	0.714705	4.9758	0.0464324	-0.033363	radar	0	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28049	0.660145	5.12707	-0.000393447	-0.114429	lidar	0.00264587	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.5461	0.660691	5.30114	-0.00671308	-0.115802	radar	0	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83775	0.658465	5.38366	-0.00442859	-0.0951735	lidar	0.00123654	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07891	0.653173	5.15403	-0.0133743	-0.105667	radar	0	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.30746	0.779448	5.07832	0.0781046	0.0574251	lidar	0.00366471	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.55885	0.799582	5.05604	0.0818099	0.0590382	radar	0	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
